MAMEIDs 0.289 (July 31, 2026)
===============================================================================================================================================================================================================================
'mameID' it is an unequivocally identifies each machine/bios/device added to the MAME with a simple number ====================================================================================================================
===============================================================================================================================================================================================================================
|mameID | SET                             | DESCRIPTION                                                                                                                                                            |   TYPE   |
===============================================================================================================================================================================================================================
|   259 | 005                             | 005                                                                                                                                                                    | arcade   |
| 50590 | 005a                            | 005 (earlier version?)                                                                                                                                                 | arcade   |
| 39837 | 09825_67907                     | Hewlett-Packard HP-09825-67907                                                                                                                                         | mess     |
| 50591 | 100in1rg                        | 100-in-1 Retro Gaming Console (SY-909)                                                                                                                                 | mess     |
| 36264 | 100lions                        | 100 Lions (10219211, NSW/ACT)                                                                                                                                          | arcade   |
| 46047 | 100lionsa                       | 100 Lions (30223811, ASP)                                                                                                                                              | arcade   |
|  6268 | 10yard                          | 10-Yard Fight (World, set 1)                                                                                                                                           | arcade   |
|  8695 | 10yard85                        | 10-Yard Fight '85 (US, Taito license)                                                                                                                                  | arcade   |
|   167 | 10yardj                         | 10-Yard Fight (Japan)                                                                                                                                                  | arcade   |
| 30348 | 110dance                        | Retro Dance Mat (110 song Super StepMania + 9-in-1 games) (PAL)                                                                                                        | mess     |
| 49412 | 119                             | 119 (bootleg?)                                                                                                                                                         | arcade   |
|  5448 | 11beat                          | Eleven Beat                                                                                                                                                            | arcade   |
| 30780 | 1292apvs                        | 1292 Advanced Programmable Video System                                                                                                                                | mess     |
| 36707 | 136094_0072                     | Atari 136094-0072 XGA                                                                                                                                                  | arcade   |
| 37194 | 136095_0072                     | Atari 136095-0072 XGA                                                                                                                                                  | arcade   |
| 30781 | 1392apvs                        | 1392 Advanced Programmable Video System                                                                                                                                | mess     |
| 40036 | 15lions                         | 15 Lions (10166211, Queensland)                                                                                                                                        | arcade   |
| 50463 | 168pcase                        | Diier-D-10 168-in-1 phone case                                                                                                                                         | mess     |
| 50822 | 1801vm1_timer                   | 1801VM1 timer                                                                                                                                                          | mess     |
| 47483 | 1801vp1_014                     | 1801VP1-014                                                                                                                                                            | mess     |
| 49714 | 1801vp1_033                     | 1801VP1-033 parallel/serial interface                                                                                                                                  | mess     |
| 48352 | 1801vp1_065                     | 1801VP1-065                                                                                                                                                            | mess     |
| 47340 | 1801vp1_128                     | 1801VP1-128 FDC                                                                                                                                                        | mess     |
| 10300 | 18w                             | 18 Wheeler (set 1)                                                                                                                                                     | arcade   |
| 10301 | 18w2                            | 18 Wheeler (set 2)                                                                                                                                                     | arcade   |
|  8387 | 18wheelr                        | 18 Wheeler: American Pro Trucker (deluxe, Rev A)                                                                                                                       | arcade   |
| 39627 | 18wheelro                       | 18 Wheeler: American Pro Trucker (deluxe)                                                                                                                              | arcade   |
| 39628 | 18wheelrt                       | 18 Wheeler: American Pro Trucker (deluxe, Rev T)                                                                                                                       | arcade   |
| 18612 | 18wheels                        | 18 Wheeler: American Pro Trucker (standard)                                                                                                                            | arcade   |
| 29540 | 18wheelu                        | 18 Wheeler: American Pro Trucker (upright)                                                                                                                             | arcade   |
| 18960 | 1941                            | 1941: Counter Attack (World 900227)                                                                                                                                    | arcade   |
|   582 | 1941j                           | 1941: Counter Attack (Japan)                                                                                                                                           | arcade   |
|   563 | 1941r1                          | 1941: Counter Attack (World)                                                                                                                                           | arcade   |
| 10477 | 1941u                           | 1941: Counter Attack (USA 900227)                                                                                                                                      | arcade   |
|   805 | 1942                            | 1942 (Revision B)                                                                                                                                                      | arcade   |
|   602 | 1942a                           | 1942 (Revision A)                                                                                                                                                      | arcade   |
|  8388 | 1942abl                         | 1942 (Revision A, bootleg)                                                                                                                                             | arcade   |
|    98 | 1942b                           | 1942 (First Version)                                                                                                                                                   | arcade   |
| 29888 | 1942h                           | Supercharger 1942                                                                                                                                                      | arcade   |
| 47208 | 1942iti                         | 1942 (bootleg on Vulgus hardware)                                                                                                                                      | arcade   |
| 29450 | 1942p                           | 1942 (Tecfri PCB, bootleg?)                                                                                                                                            | arcade   |
|  7074 | 1942w                           | 1942 (Williams Electronics license)                                                                                                                                    | arcade   |
|  8769 | 1943                            | 1943: The Battle of Midway (Euro)                                                                                                                                      | arcade   |
|  9157 | 1943b                           | 1943: Battle of Midway (bootleg, hack of Japan set)                                                                                                                    | arcade   |
| 36092 | 1943bj                          | 1943: Midway Kaisen (bootleg)                                                                                                                                          | arcade   |
| 14014 | 1943j                           | 1943: Midway Kaisen (Japan, Rev B)                                                                                                                                     | arcade   |
| 38498 | 1943ja                          | 1943: Midway Kaisen (Japan)                                                                                                                                            | arcade   |
|   537 | 1943jah                         | 1943: Midway Kaisen (Japan, no protection hack)                                                                                                                        | arcade   |
|   260 | 1943kai                         | 1943 Kai: Midway Kaisen (Japan)                                                                                                                                        | arcade   |
| 36708 | 1943mii                         | 1943: The Battle of Midway Mark II (US)                                                                                                                                | arcade   |
|   225 | 1943u                           | 1943: The Battle of Midway (US, Rev C)                                                                                                                                 | arcade   |
| 35737 | 1943ua                          | 1943: The Battle of Midway (US)                                                                                                                                        | arcade   |
| 46023 | 1944                            | 1944: The Loop Master (Europe 000620)                                                                                                                                  | arcade   |
|  7337 | 1944d                           | 1944: The Loop Master (USA 000620 Phoenix Edition) (bootleg)                                                                                                           | arcade   |
|  3774 | 1944j                           | 1944: The Loop Master (Japan 000620)                                                                                                                                   | arcade   |
|  3773 | 1944u                           | 1944: The Loop Master (USA 000620)                                                                                                                                     | arcade   |
|  4950 | 1945kiii                        | 1945k III (newer, OPCX2 PCB)                                                                                                                                           | arcade   |
| 37195 | 1945kiiin                       | 1945k III (newer, OPCX1 PCB)                                                                                                                                           | arcade   |
| 36265 | 1945kiiio                       | 1945k III (older, OPCX1 PCB)                                                                                                                                           | arcade   |
| 47836 | 1945kiiipt                      | 1945k III (Promat license, OPCX1 PCB)                                                                                                                                  | arcade   |
| 26504 | 19in1                           | 19 in 1 MAME bootleg (BAR-V000)                                                                                                                                        | arcade   |
| 41204 | 19xx                            | 19XX: The War Against Destiny (Europe 960104)                                                                                                                          | arcade   |
| 30335 | 19xxa                           | 19XX: The War Against Destiny (Asia 960104)                                                                                                                            | arcade   |
|  4005 | 19xxar1                         | 19XX: The War Against Destiny (Asia 951207)                                                                                                                            | arcade   |
|  6671 | 19xxb                           | 19XX: The War Against Destiny (Brazil 951218)                                                                                                                          | arcade   |
|  7338 | 19xxd                           | 19XX: The War Against Destiny (USA 951207 Phoenix Edition) (bootleg)                                                                                                   | arcade   |
|  2790 | 19xxh                           | 19XX: The War Against Destiny (Hispanic 951218)                                                                                                                        | arcade   |
| 29541 | 19xxj                           | 19XX: The War Against Destiny (Japan 960104, yellow case)                                                                                                              | arcade   |
|  3024 | 19xxjr1                         | 19XX: The War Against Destiny (Japan 951225)                                                                                                                           | arcade   |
|  2789 | 19xxjr2                         | 19XX: The War Against Destiny (Japan 951207)                                                                                                                           | arcade   |
|  2788 | 19xxu                           | 19XX: The War Against Destiny (USA 951207)                                                                                                                             | arcade   |
|  6915 | 1on1gov                         | 1 on 1 Government (Japan)                                                                                                                                              | arcade   |
|   634 | 2020bb                          | 2020 Super Baseball (set 1)                                                                                                                                            | arcade   |
|  4843 | 2020bba                         | 2020 Super Baseball (set 2)                                                                                                                                            | arcade   |
|  1642 | 2020bbh                         | 2020 Super Baseball (set 3)                                                                                                                                            | arcade   |
|  8770 | 20pacgal                        | Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.08)                                                                                                    | arcade   |
|  8864 | 20pacgalr0                      | Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.00)                                                                                                    | arcade   |
|  6371 | 20pacgalr1                      | Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.01)                                                                                                    | arcade   |
|  8771 | 20pacgalr2                      | Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.02)                                                                                                    | arcade   |
|  8865 | 20pacgalr3                      | Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.03)                                                                                                    | arcade   |
|  7297 | 20pacgalr4                      | Ms. Pac-Man/Galaga - 20th Anniversary Class of 1981 Reunion (V1.04)                                                                                                    | arcade   |
| 37398 | 21064                           | DEC Alpha 21064                                                                                                                                                        | mess     |
| 19441 | 22vp931                         | Philips 22VP931                                                                                                                                                        | arcade   |
| 28815 | 22vp932                         | Philips 22VP932                                                                                                                                                        | arcade   |
| 29889 | 24_130                          | 24 v1.30                                                                                                                                                               | arcade   |
| 29890 | 24_140                          | 24 v1.40                                                                                                                                                               | arcade   |
| 29891 | 24_144                          | 24 v1.44                                                                                                                                                               | arcade   |
| 29892 | 24_150                          | 24 v1.50                                                                                                                                                               | arcade   |
| 43302 | 240in1ar                        | Mini Arcade Machine (Thumbs Up, 240IN1ARC)                                                                                                                             | mess     |
| 40304 | 24c01                           | 24C01 I2C Memory                                                                                                                                                       | mess     |
| 40305 | 24c02                           | 24C02 I2C Memory                                                                                                                                                       | mess     |
| 41816 | 24c04                           | 24C04 I2C Memory                                                                                                                                                       | mess     |
| 40306 | 24c08                           | 24C08 I2C Memory                                                                                                                                                       | mess     |
| 47341 | 24c128                          | 24C128 I2C Memory                                                                                                                                                      | mess     |
| 40307 | 24c16                           | 24C16 I2C Memory                                                                                                                                                       | mess     |
| 47342 | 24c256                          | 24C256 I2C Memory                                                                                                                                                      | mess     |
| 32366 | 24c512                          | 24C512 I2C Memory                                                                                                                                                      | mess     |
| 40309 | 24c64                           | 24C64 I2C Memory                                                                                                                                                       | mess     |
| 49715 | 24c65                           | 24C65 I2C Memory                                                                                                                                                       | mess     |
| 28714 | 24cdjuke                        | Midcoin Juke Box 24CD                                                                                                                                                  | arcade   |
| 29151 | 25pacman                        | Pac-Man - 25th Anniversary Edition (Rev 3.00)                                                                                                                          | arcade   |
|  8866 | 25pacmano                       | Pac-Man - 25th Anniversary Edition (Rev 2.00)                                                                                                                          | arcade   |
| 47837 | 265games                        | 265-in-1 Handheld Game (SPG2xx based)                                                                                                                                  | mess     |
| 37608 | 28010                           | Parallel EEPROM 28010 (131072x8)                                                                                                                                       | mess     |
| 37609 | 28020                           | Parallel EEPROM 28020 (262144x8)                                                                                                                                       | mess     |
| 29152 | 2804                            | Parallel EEPROM 2804 (512x8)                                                                                                                                           | mess     |
| 37610 | 28040                           | Parallel EEPROM 28040 (524288x8)                                                                                                                                       | mess     |
|   347 | 280zzzap                        | 280-ZZZAP (set 1)                                                                                                                                                      | arcade   |
| 49270 | 280zzzapa                       | 280-ZZZAP (set 2)                                                                                                                                                      | arcade   |
| 29153 | 2816                            | Parallel EEPROM 2816 (2048x8)                                                                                                                                          | mess     |
| 37611 | 28256                           | Parallel EEPROM 28256 (32768x8)                                                                                                                                        | mess     |
| 37612 | 28512                           | Parallel EEPROM 28512 (65536x8)                                                                                                                                        | mess     |
| 30782 | 2864                            | Parallel EEPROM 2864 (8192x8)                                                                                                                                          | mess     |
| 36709 | 2joysnd                         | PET Dual Joysticks and Sound                                                                                                                                           | mess     |
|  6441 | 2mindril                        | Two Minute Drill (Ver 2.93A 1994/02/16)                                                                                                                                | arcade   |
| 47209 | 2mindrila                       | Two Minute Drill (Ver 2.2A 1993/10/18)                                                                                                                                 | arcade   |
| 30541 | 2spicy                          | 2 Spicy                                                                                                                                                                | arcade   |
| 14142 | 30test                          | 30 Test (remake)                                                                                                                                                       | arcade   |
| 30336 | 315_5296                        | Sega 315-5296 I/O                                                                                                                                                      | arcade   |
| 39306 | 315_5338a                       | Sega 315-5338A I/O Controller                                                                                                                                          | arcade   |
| 35483 | 315_5641_pcm                    | Sega 315-5641 PCM                                                                                                                                                      | mess     |
| 39363 | 315_5649                        | Sega 315-5649 I/O Controller                                                                                                                                           | arcade   |
| 30783 | 32x                             | Genesis with 32X (USA, NTSC)                                                                                                                                           | mess     |
| 35639 | 32x_mcd                         | Mega-CD with 32X (Europe, PAL)                                                                                                                                         | mess     |
| 35640 | 32x_mcdj                        | Mega-CD with 32X (Japan, NTSC)                                                                                                                                         | mess     |
| 30784 | 32x_scd                         | Sega CD with 32X (USA, NTSC)                                                                                                                                           | mess     |
| 30785 | 32xe                            | Mega Drive with 32X (Europe, PAL)                                                                                                                                      | mess     |
| 30786 | 32xj                            | Mega Drive with 32X (Japan, NTSC)                                                                                                                                      | mess     |
| 50589 | 36pcase                         | 36-in-1 Classic Games phone case                                                                                                                                       | mess     |
| 30787 | 386i                            | 386i                                                                                                                                                                   | mess     |
| 41098 | 386sc                           | 386 SC Rev A2                                                                                                                                                          | mess     |
| 41099 | 386sc2c                         | 386 motherboard using the Symphony chipset                                                                                                                             | mess     |
| 43970 | 386schg                         | 386-SC-HG                                                                                                                                                              | mess     |
| 43971 | 386sxvhcom                      | 80386SX-VH-COM                                                                                                                                                         | mess     |
|  6704 | 39in1                           | 39 in 1 MAME bootleg (GNO-V000)                                                                                                                                        | arcade   |
| 30788 | 3b1                             | UNIX PC Model 3B1                                                                                                                                                      | mess     |
| 41624 | 3b2_300                         | 3B2/300                                                                                                                                                                | mess     |
| 41625 | 3b2_310                         | 3B2/310                                                                                                                                                                | mess     |
| 41626 | 3b2_400                         | 3B2/400                                                                                                                                                                | mess     |
| 41627 | 3b2_600                         | 3B2/600                                                                                                                                                                | mess     |
|  8879 | 3bagfull                        | 3 Bags Full (5VXFC790, Victoria)                                                                                                                                       | arcade   |
|  8208 | 3bagfullnz                      | 3 Bags Full (3VXFC5345, New Zealand)                                                                                                                                   | arcade   |
