#  allMAMEremoved 0.1 > 0.266
#  ================================================================
#  All sets removed, from the first version, in alphabetical order.
#
#
#  (C) 2024 AntoPISA
#
============================================================================================================================================
| mameID            | Name Set                                   | Added In           | Removed In             |  ReAdded In       | Type  |
============================================================================================================================================
|             40308 | 24c16a                                     | 0.207              | 0.222                  |                   | D     |
|             30791 | 3do_m2                                     | 0.162              | 0.205                  |                   | M     |
|             35218 | 40105                                      | 0.163              | 0.181                  |                   | D     |
|              4176 | 4in1boot                                   | 0.74u2             | 0.80                   | 0.90u3            | M     |
|             37196 | 7400                                       | 0.180              | 0.181                  |                   | D     |
|             37197 | 7404                                       | 0.180              | 0.181                  |                   | D     |
|             37198 | 82s129                                     | 0.180              | 0.181                  |                   | D     |
|             35641 | a2600_dpcplus                              | 0.167              | 0.168                  |                   | D     |
|             30833 | a2diskii                                   | 0.162              | 0.249                  |                   | D     |
|             29276 | a2hsscsi                                   | 0.151              | 0.200                  | 0.210             | D     |
|             30847 | a2lang                                     | 0.162              | 0.183                  |                   | D     |
|             30872 | a2vtc2                                     | 0.162              | 0.211                  |                   | D     |
|             30873 | a2vulcan                                   | 0.162              | 0.200                  | 0.208             | D     |
|             30874 | a2vulgld                                   | 0.162              | 0.200                  | 0.208             | D     |
|             30949 | a8sio_slot                                 | 0.162              | 0.210                  |                   | D     |
|             30953 | aakart                                     | 0.162              | 0.232                  |                   | D     |
|             30955 | abc_hdc                                    | 0.162              | 0.228                  |                   | D     |
|             19681 | ac1clbmna                                  | 0.146u4            | 0.146u5                |                   | M     |
|             19683 | ac1goglda                                  | 0.146u4            | 0.146u5                |                   | M     |
|             13164 | ac1piadx                                   | 0.143u4            | 0.143u7                |                   | M     |
|             19694 | ac1primta                                  | 0.146u4            | 0.146u5                |                   | M     |
|             14143 | ad5u1337                                   | 0.143u6            | 0.145u7                |                   | M     |
|               497 | aeroboto                                   | 0.33b3             | 0.55                   | 0.60              | M     |
|             38764 | akatana                                    | 0.192              | 0.240                  |                   | M     |
|             42330 | alice128                                   | 0.222              | 0.233                  |                   | M     |
|             37631 | alpha8201l                                 | 0.184              | 0.221                  |                   | D     |
|             28825 | alpha8301l                                 | 0.149u1            | 0.221                  |                   | D     |
|               261 | alpine                                     | 0.30               | 0.33b7                 | 0.34b4            | M     |
|             40793 | am25s557                                   | 0.211              | 0.222                  |                   | D     |
|             40794 | am25s558                                   | 0.211              | 0.222                  |                   | D     |
|             37210 | am2847                                     | 0.180              | 0.181                  |                   | D     |
|             42331 | am2901b                                    | 0.222              | 0.250                  |                   | D     |
|             40795 | am2910                                     | 0.211              | 0.250                  |                   | D     |
|             28827 | am53cf96                                   | 0.149u1            | 0.265                  |                   | D     |
|             35796 | animpkra                                   | 0.169              | 0.223                  |                   | M     |
|             31082 | apple_fdcl                                 | 0.162              | 0.249                  |                   | D     |
|             31100 | apple2gsr3lp                               | 0.162              | 0.177                  |                   | M     |
|               348 | arkabeta                                   | 0.31               | 0.33b7                 |                   | M     |
|             37637 | arm_be                                     | 0.184              | 0.249                  |                   | D     |
|             31157 | at29040a                                   | 0.162              | 0.165                  |                   | D     |
|             31167 | atari_vg_earom                             | 0.162              | 0.200                  |                   | D     |
|             29165 | atari2804                                  | 0.150              | 0.190                  |                   | D     |
|             29166 | atari2816                                  | 0.150              | 0.190                  |                   | D     |
|             31179 | attachef                                   | 0.162              | 0.165                  |                   | M     |
|              7590 | atworld                                    | 0.129u4            | 0.133u2                | 0.138u4           | M     |
|              7591 | atworlda                                   | 0.129u4            | 0.133u2                |                   | M     |
|             29562 | avg_tomcat                                 | 0.153              | 0.227                  |                   | D     |
|              6745 | bangbedp                                   | 0.60               | 0.69                   |                   | M     |
|             31217 | bbcb1770                                   | 0.162              | 0.178                  |                   | M     |
|             28838 | beezer_sound                               | 0.149u1            | 0.181                  |                   | D     |
|               920 | billiard                                   | 0.34b7             | 0.35                   | 0.35              | M     |
|              1647 | blckgalb                                   | 0.36b4             | 0.55                   | 0.60              | M     |
|              5860 | blitz11                                    | 0.102              | 0.229                  |                   | M     |
|               710 | blockgal                                   | 0.34b2             | 0.55                   | 0.60              | M     |
|              1647 | blockgalb                                  | 0.36b4             | 0.55                   | 0.60              | M     |
|              4166 | bmcompm2                                   | 0.74u1             | 0.74u2                 | 0.88u7            | M     |
|              6535 | bmfinal                                    | 0.113u2            | 0.114                  | 0.125u1           | M     |
|             28842 | buggychl_mcu                               | 0.149u1            | 0.182                  |                   | D     |
|             31441 | canonv30                                   | 0.162              | 0.250                  |                   | M     |
|             31498 | cdi68070                                   | 0.149u1            | 0.209                  |                   | D     |
|             31534 | cgb_lcd                                    | 0.162              | 0.179                  |                   | D     |
|               922 | champbb2                                   | 0.34b7             | 0.54                   | 0.74u2            | M     |
|             37657 | chocovdr_decrypter                         | 0.184              | 0.254                  |                   | D     |
|             29174 | cirrus_vga                                 | 0.150              | 0.161                  |                   | D     |
|             35977 | clubpacmb                                  | 0.170              | 0.226                  |                   | M     |
|             18840 | cninjaa                                    | 0.145u4            | 0.150                  |                   | M     |
|             28850 | cobra_jvs                                  | 0.149u1            | 0.251                  |                   | D     |
|             28851 | cobra_jvs_host                             | 0.149u1            | 0.251                  |                   | D     |
|             31572 | coco_fdc_v11                               | 0.162              | 0.254                  |                   | D     |
|             45698 | coco_scii_cc3                              | 0.251              | 0.254                  |                   | D     |
|             31577 | coco2                                      | 0.162              | 0.255                  |                   | M     |
|             39230 | coco2_hdb1                                 | 0.196              | 0.254                  |                   | D     |
|             39385 | coco2h                                     | 0.198              | 0.255                  |                   | M     |
|             31580 | coco3_hdb1                                 | 0.162              | 0.254                  |                   | D     |
|             31581 | coco3dw1                                   | 0.162              | 0.254                  |                   | D     |
|             31585 | cocoe                                      | 0.162              | 0.255                  |                   | M     |
|             39386 | cocoeh                                     | 0.198              | 0.255                  |                   | M     |
|             44736 | code1da                                    | 0.241              | 0.262                  |                   | M     |
|             34537 | colecob                                    | 0.162              | 0.172                  |                   | M     |
|                   | columns2                                   | 0.37b9             | 0.84u6                 | 0.85              | M     |
|             31626 | cop444                                     | 0.162              | 0.182                  |                   | D     |
|             31638 | cp400_fdc                                  | 0.162              | 0.193                  |                   | D     |
|             36104 | cscfr                                      | 0.171              | 0.208                  |                   | M     |
|             36105 | cscg                                       | 0.171              | 0.208                  |                   | M     |
|             36106 | cscsp                                      | 0.171              | 0.208                  |                   | M     |
|              1485 | csk227it                                   | 0.36b1             | 0.36rc1                | 0.99u2            | M     |
|              1486 | csk234it                                   | 0.36b1             | 0.36rc1                | 0.99u2            | M     |
|              2687 | cvs                                        | 0.37b12            | 0.122u5                |                   | B     |
|              8107 | cybrlipa                                   | 0.34b2             | 0.34b7                 |                   | M     |
|             37122 | dac_4bit_bw_sm                             | 0.179              | 0.246                  |                   | D     |
|               770 | dakkochn                                   | 0.34b3             | 0.54                   | 0.74u2            | M     |
|              4999 | dblewing                                   | 0.84               | 0.95u6                 | 0.96              | M     |
|             31744 | dcprt                                      | 0.162              | 0.170                  |                   | M     |
|             38518 | ddp3                                       | 0.105u4            | 0.105u5                | 0.140u2           | M     |
|               508 | ddragon2                                   | 0.33b3             | 0.37b15                |                   | M     |
|             10637 | deathsml                                   | 0.142u5            | 0.144                  | 0.153             | M     |
|             29951 | deco_zoomspr                               | 0.292              | 0.237                  |                   | D     |
|             46045 | demonwld4                                  | 0.126u2            | 0.143u7                |                   | M     |
|             29952 | devcb_line_dispatch                        | 0.154              | 0.181                  |                   | D     |
|              3720 | diehard                                    | 0.64               | 0.65                   | 0.74u2            | M     |
|             37222 | dm9334                                     | 0.180              | 0.181                  |                   | D     |
|             31783 | dmg_lcd                                    | 0.162              | 0.179                  |                   | D     |
|             31784 | dms3d2kp                                   | 0.162              | 0.264                  |                   | D     |
|              3721 | dnmtdeka                                   | 0.64               | 0.65                   | 0.74u2            | M     |
|             39762 | dp83932c_be                                | 0.202              | 0.206                  |                   | D     |
|             39763 | dp83932c_le                                | 0.202              | 0.206                  |                   | D     |
|             40815 | dpb_brushproc                              | 0.211              | 0.222                  |                   | D     |
|             40917 | dpb_brushstore                             | 0.212              | 0.222                  |                   | D     |
|             40816 | dpb_combiner                               | 0.211              | 0.222                  |                   | D     |
|             40918 | dpb_framestore                             | 0.212              | 0.222                  |                   | D     |
|             40817 | dpb_storeaddr                              | 0.211              | 0.222                  |                   | D     |
|             45368 | drmn10ma                                   | 0.248              | 0.255                  |                   | M     |
|             45370 | drmn9mb                                    | 0.248              | 0.255                  |                   | M     |
|             37684 | dummy_space                                | 0.184              | 0.232                  |                   | D     |
|             35436 | dvk_ksm01                                  | 0.165              | 0.177                  |                   | M     |
|              4253 | eaglshta                                   | 0.74u2             | 0.100u3                |                   | M     |
|             36356 | eaglst1                                    | 0.173              | 0.175                  |                   | M     |
|             20314 | ec_barx__bv                                | 0.146u5            | 0.148                  |                   | M     |
|             12538 | ec_barx7                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12539 | ec_barxd                                   | 0.143u3            | 0.143u5                |                   | M     |
|             20414 | ec_casbx__c                                | 0.146u5            | 0.148                  |                   | M     |
|             20415 | ec_casbx__d                                | 0.146u5            | 0.148                  |                   | M     |
|             12544 | ec_casrb                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12545 | ec_cool7                                   | 0.143u3            | 0.143u5                |                   | M     |
|             12548 | ec_magbr                                   | 0.143u3            | 0.143u5                |                   | M     |
